,ID,InTime,OutTime
0,0,0,4325
1,1,4326,4401
2,0,4402,4430
3,1,4431,4523
4,0,4524,4585
5,1,4586,4682
6,0,4683,4740
7,1,4741,4835
8,0,4836,4889
9,1,4890,4990
10,0,4991,5044
11,1,5045,5138
12,0,5139,5190
13,1,5191,5300
14,0,5301,5343
15,1,5344,5436
16,0,5437,5476
17,1,5477,5592
18,0,5593,5651
19,1,5652,5775
20,0,5776,5814
21,1,5815,5957
22,0,5958,6115
23,1,6116,6232
24,0,6233,6261
25,1,6262,6443
26,0,6444,6537
27,1,6538,6747
28,0,6748,15478
