,activity,start_time,end_time,gap
0,Drilling&Loading,0,3516,3517
1,nothing,3517,4238,722
2,Scaling,4239,4248,10
3,Mucking,4249,5969,1721
4,Scaling,5970,6000,31
5,Mucking,6001,6756,756
6,Scaling,6757,7622,866
7,nothing,7623,7662,40
8,Scaling,7663,8121,459
9,nothing,8122,8157,36
10,Spraying,8158,8726,569
11,nothing,8727,8762,36
12,H_beam,8763,9725,963
13,nothing,9726,9745,20
14,Spraying,9746,12626,2881
15,Scaling,12627,13518,892
16,nothing,13519,13531,13
17,Rock_bolting,13532,15478,1947
